cell,longitude,latitude,richness,phylo.dist,phylo.SC,phylo.SV,morpho.MNND,morpho.volume,morpho.SD.MSTD,funct.rich,funct.even,funct.div
6948,-52.8,-3.8,53,839.7,0.791603967,0.573282758,0.907180736,82746.47693,0.874926545,6,0.506289308,1.3423239
6949,-51.8,-3.8,51,806.7,0.786879987,0.561690525,0.912472328,82746.47693,0.891667075,6,0.486928105,1.29124926
6950,-50.8,-3.8,51,806.7,0.786879987,0.561690525,0.912472328,82746.47693,0.891667075,6,0.486928105,1.29124926
6951,-49.8,-3.8,51,806.7,0.786879987,0.561690525,0.912472328,82746.47693,0.891667075,6,0.486928105,1.29124926
6952,-48.8,-3.8,52,814.9,0.787792984,0.558376284,0.906370783,82746.47693,0.883273032,6,0.480769231,1.28321761
6953,-47.8,-3.8,51,792.1,0.792774369,0.557820281,0.908332536,82746.47693,0.917374433,6,0.480392157,1.2893344
6954,-46.8,-3.8,50,780.1,0.792474438,0.557108635,0.90031951,82746.47693,0.925844936,6,0.48,1.29503493
6955,-45.8,-3.8,42,678.4,0.787223683,0.570461892,0.968064008,72951.71105,0.992104543,6,0.507936508,1.33662646
6956,-44.8,-3.8,40,663,0.775664622,0.574403545,0.989331468,70519.98735,1.010959253,6,0.508333333,1.31909784
6957,-43.8,-3.8,36,602.8,0.779652352,0.581695719,1.026037987,62439.57213,1.052340206,6,0.472222222,1.24794086
6958,-42.8,-3.8,36,602.8,0.779652352,0.581695719,1.026037987,62439.57213,1.052340206,6,0.472222222,1.24794086
6959,-41.8,-3.8,37,612.5,0.780246504,0.579263312,1.023822529,62439.57213,1.037125403,6,0.463963964,1.23567418
6960,-40.8,-3.8,39,640.1,0.781920193,0.575933699,1.026511802,62439.57213,1.011461506,6,0.491452991,1.28037542
6961,-39.8,-3.8,38,630.4,0.781401356,0.577964144,1.036564381,62439.57213,1.024765149,6,0.5,1.29176891
6962,-38.8,-3.8,38,630.4,0.781401356,0.577964144,1.036564381,62439.57213,1.024765149,6,0.5,1.29176891
7004,-80.8,-4.8,30,572.8,0.689706885,0.57728416,1.340400675,340715.985,1.313576902,6,0.522222222,1.40114213
7005,-79.8,-4.8,45,711.6,0.753419677,0.544772882,1.046789332,355031.7827,1.119993744,6,0.47037037,1.29631758
7006,-78.8,-4.8,57,887.7,0.760162164,0.545845698,0.960399445,389884.2035,1.015285111,6,0.48245614,1.32891651
7007,-77.8,-4.8,68,968.2,0.80028269,0.562398222,0.889729744,390450.3754,0.943472721,6,0.514705882,1.385887
7008,-76.8,-4.8,66,941.7,0.802441594,0.564744186,0.897131359,390450.3754,0.956491433,6,0.515151515,1.38974215
7009,-75.8,-4.8,66,961.9,0.801171221,0.571200442,0.910617415,390450.3754,0.93390995,6,0.52020202,1.40106159
7010,-74.8,-4.8,64,949.4,0.798185072,0.572210658,0.950720165,390709.8306,0.928945516,6,0.520833333,1.38917189
7011,-73.8,-4.8,61,913.6,0.797445439,0.563086258,0.97107073,388545.2332,0.95099131,6,0.5,1.34270131
7012,-72.8,-4.8,58,852.8,0.797687046,0.548962845,0.894866972,71638.52791,0.848724119,6,0.471264368,1.28425137
7013,-71.8,-4.8,59,859.4,0.798828463,0.545935777,0.881176484,71638.52791,0.846666187,6,0.466101695,1.27590692
7014,-70.8,-4.8,61,881,0.803144591,0.544417625,0.874348841,71638.52791,0.835051252,6,0.461748634,1.26446965
7015,-69.8,-4.8,60,872.8,0.802658487,0.547258905,0.872188667,71638.52791,0.842859942,6,0.466666667,1.27240246
7016,-68.8,-4.8,54,814.5,0.796940089,0.550935393,0.893074641,71638.52791,0.88085077,6,0.481481481,1.30946658
7017,-67.8,-4.8,52,765.4,0.808439515,0.541837468,0.897640118,71638.52791,0.890016588,6,0.467948718,1.27526826
7018,-66.8,-4.8,54,795.9,0.804779217,0.543284188,0.860760089,71638.52791,0.883824156,6,0.475308642,1.28375193
7019,-65.8,-4.8,53,783.9,0.800825713,0.542137474,0.852303037,71638.52791,0.891131037,6,0.474842767,1.28793559
7020,-64.8,-4.8,53,781.4,0.800362696,0.538909715,0.869151973,82073.74135,0.885327466,6,0.462264151,1.26637401
